cell_number,"Gen# (1 = Female, Male = 2, Unspecified = 3)","Eth# (1 = Asian, 2 = Black, Hispanic = 3, Caucasian/White = 4, Unspecified = 5)","Dis# (1=General, 2 = Breast Cancer, 3 = Prostate Cancer, Lung Cancer = 4, Leukemia/Lymphona=5)",Year,Age,"Contaminated by HeLa or other (1=Yes, contaminated, 0=No, not  contaminated)"
BICR 6,2,4,1,1995,-10,0
GR M,2,4,1,1995,36,0
HCC 1428,1,4,2,1995,49,0
HCC 1428,1,4,2,1995,49,0
HCC 1500,1,2,2,1995,32,0
HCC 1937,1,4,2,1995,23,0
HCC 1937,1,4,2,1995,23,0
HCC 1954,1,1,2,1995,61,0
HCC 1954,1,1,2,1995,61,0
HR 5,1,5,1,1995,-10,0
MCC 13,3,5,1,1995,-10,0
NCI H660,2,4,3,1995,63,0
OV 58,1,5,1,1995,52,0
PNT 1 A,2,5,3,1995,35,0
ARCaP,2,5,3,1996,-10,0
HCC 2157,1,2,2,1996,48,0
HCC 2218,1,4,2,1996,38,0
Ishikawa,1,5,1,1996,39,0
VP 229,1,5,2,1996,47,0
VP 267,1,5,2,1996,48,0
VP 303,1,5,2,1996,-10,0
HCC 1569,1,2,2,1997,70,0
HCC 1806,1,2,2,1997,60,0
LAPC 3,2,5,3,1997,-10,0
LAPC 4,2,5,3,1997,-10,0
MDA PCa 2 a,2,2,3,1997,63,0
MDA PCa 2 b,2,2,3,1997,63,0
MM 415,3,5,1,1997,-10,0
OE 33,1,4,1,1997,73,0
PWR 1 E,2,4,3,1997,67,0
VCaP,2,4,3,1997,59,0
HCC 1187,1,4,2,1998,41,0
HCC 1187,1,4,2,1998,41,0
HCC 1599,1,4,2,1998,44,0
HCC 1599,1,2,4,1998,44,0
MFE 280,3,4,1,1998,78,0
RWPE 1,2,4,3,1998,54,0
RWPE 2,2,4,3,1998,-10,0
22 Rv 1,2,5,3,1999,-10,0
RCC 4,3,5,1,1999,-10,0
PSK 1,2,5,3,2000,-10,0
UACC 3133,1,4,2,2000,52,0
A 2058,2,4,1,2001,43,0
DUCaP,2,5,3,2001,-10,0
CWR R1,2,5,3,2003,-10,0
Shmac 5,2,5,3,2004,-10,0
PC 346C,2,5,3,2006,-10,0
UM UC 14,2,5,1,2006,-10,0
Bob,2,5,3,2009,-10,0
SerBob,2,5,3,2009,-10,0
WM 266 4,1,5,1,2009,58,0
IOWA 1 T,1,4,2,2012,55,0
G 402,1,4,1,2015,0.75,0
C 16,1,2,1,0,-10,1
FL,3,5,5,0,-10,1
KB,3,5,1,0,-10,1
L 132,3,5,1,0,0,1
L 41,3,5,5,0,-10,1
TE 671,3,4,1,0,7,1
WiDr,1,5,1,0,-10,1
Hep 2,1,2,1,1954,-10,1
WKD,3,2,1,1954,-10,1
WISH,3,5,1,1961,-10,1
RT 4,2,4,1,1970,63,1
SK N MC,1,4,1,1973,14,1
HS Sultan,2,2,5,1974,7,1
U 937,2,4,5,1974,37,1
CHP 100,2,5,1,1976,-10,1
MDA MB 435 S,1,4,1,1976,31,1
HSG,2,1,1,1981,41,1
HBL 100,1,2,2,1982,48,1
PC 93,2,4,3,1983,-10,1
ECV 304,1,1,1,1984,0,1
UM UC 2,3,5,1,1984,-10,1
UM UC 3,2,5,1,1986,-10,1
TSU Pr1,3,1,3,1987,-10,1
HMVII,1,5,1,1989,65,1
PPC 1,2,5,3,1989,-10,1
ALVA 31,2,5,3,1993,-10,1
ALVA 41,2,5,3,1994,-10,1
ALVA 55,2,5,3,1996,-10,1
AV 3,1,2,1,1997,-10,1
ALVA 101,2,4,3,2003,62,1
