Year,"Cancer Index (2=Female Breast Cancer, 3=Prostate Cancer, 4=Lung Cancer)","Measurement (1=Incidence Rate, 2=Death Rate, 3=Incidence Count, 4=Death Count)",Measurement,All Races Rate,All Races LCI,All Races UCI,White Rate,White LCI,White UCI,Black Rate,Black LCI,Black UCI,Asian/Pacific Islander Rate,Asian/Pacific Islander LCI,Asian/Pacific Islander UCI,American Indian/Alaska Native Rate,American Indian/Alaska Native LCI,American Indian/Alaska Native UCI,Hispanic Rate,Hispanic LCI,Hispanic UCI
2008,4,2,2,176.3,175.9,176.8,175.7,175.2,176.2,209.4,207.7,211,109.2,107.3,111.2,126.4,121.3,131.6,121.9,120.5,123.4
2009,4,2,2,173.4,172.9,173.9,173,172.5,173.5,205.4,203.8,207,107,105.2,108.9,116.2,111.5,121,120.5,119.1,122
2010,4,2,2,171.7,171.3,172.2,171.4,170.9,171.8,202.9,201.3,204.5,107.6,105.8,109.5,122,117.2,126.8,119,117.6,120.4
2011,4,2,2,168.7,168.3,169.2,168.5,168.1,169,199,197.5,200.6,105.1,103.4,106.9,111.5,107.1,116.1,117.5,116.2,118.9
2012,4,2,2,166.3,165.9,166.7,166.4,165.9,166.9,194.1,192.6,195.6,103.7,102,105.4,112.3,108,116.7,117.2,115.9,118.5
2013,4,2,2,163,162.6,163.4,163.3,162.9,163.8,189.5,188.1,191,100,98.4,101.6,111.2,107,115.5,114.7,113.5,116
1999,3,2,2,252.8,251.8,253.7,247.1,246.2,248.1,349.2,345.3,353.2,152.7,148,157.5,171.9,159.6,184.7,173.1,169.4,176.8
2000,3,2,2,248.5,247.5,249.4,243.4,242.4,244.3,341.2,337.3,345.1,149.6,145.1,154.1,158.6,147.7,169.9,172.1,168.6,175.7
2001,3,2,2,245,244.1,246,240.3,239.3,241.3,334.1,330.3,338,149.3,145,153.7,165.7,154.9,177.1,171.6,168.2,175
2002,3,2,2,241.6,240.7,242.5,237.6,236.7,238.6,325.8,322,329.6,141.5,137.4,145.6,153.7,143.5,164.3,169.4,166.1,172.8
2003,3,2,2,235.8,234.9,236.7,232.2,231.2,233.1,314.6,310.9,318.3,141.7,137.7,145.8,153.5,143.2,164.2,164.9,161.7,168.1
2004,3,2,2,230.3,229.4,231.1,226.6,225.7,227.5,307.3,303.7,310.9,141.3,137.4,145.2,160.5,150.5,171,161.1,158,164.2
2005,3,2,2,228.1,227.2,228.9,224.9,224.1,225.8,300.3,296.8,303.8,138.4,134.7,142.2,161.5,151.6,171.8,164.8,161.8,167.9
2006,3,2,2,222.6,221.7,223.4,220,219.1,220.9,290.2,286.8,293.6,132.5,128.9,136.1,148.3,138.9,158,155.5,152.6,158.3
2007,3,2,2,219.3,218.5,220.1,216.6,215.8,217.5,286.6,283.3,289.9,135.6,132.1,139.2,153.7,144.4,163.3,153.4,150.7,156.1
2008,3,2,2,215.3,214.6,216.1,213.2,212.4,214.1,275.3,272.1,278.5,133.6,130.2,137,153.5,144.7,162.7,153,150.4,155.7
2009,3,2,2,211.2,210.4,211.9,209.3,208.5,210.2,268.9,265.8,272,131.4,128.1,134.7,134.8,126.8,143.1,150,147.5,152.6
2010,3,2,2,208.8,208,209.6,207.2,206.3,208,264.1,261.1,267.2,129.5,126.4,132.7,150.3,142,158.9,148.6,146.2,151.1
2011,3,2,2,204.3,203.5,205,203.3,202.5,204.1,253.6,250.7,256.5,125.6,122.6,128.6,136.1,128.4,144.1,146,143.6,148.3
2012,3,2,2,200.5,199.8,201.2,199.8,199.1,200.6,247.2,244.3,250,122.6,119.8,125.5,129.2,122.1,136.6,142.7,140.4,145
2013,3,2,2,196.2,195.5,196.9,195.7,194.9,196.5,240,237.3,242.7,120.7,117.9,123.5,134,126.9,141.4,139.6,137.4,141.8
1999,2,2,2,167.2,166.6,167.9,165.9,165.2,166.6,197.5,195.3,199.8,102.6,99.4,105.9,114.1,106.4,122.2,111.7,109.4,114.1
2000,2,2,2,166.7,166.1,167.3,166,165.3,166.7,193.2,191,195.5,99.3,96.3,102.4,109.4,102.1,117,110.2,107.9,112.4
2001,2,2,2,164.6,164,165.2,163.8,163.1,164.4,192.1,189.9,194.3,99.6,96.7,102.7,118.6,111.2,126.3,110,107.8,112.2
2002,2,2,2,163.4,162.8,164,162.6,161.9,163.2,191.4,189.3,193.6,97.5,94.7,100.4,119.1,111.9,126.8,109.1,107,111.3
2003,2,2,2,161.2,160.6,161.8,160.4,159.7,161.1,188.8,186.6,190.9,98.4,95.6,101.2,111.4,104.5,118.7,108.6,106.5,110.7
2004,2,2,2,157.9,157.3,158.5,157.4,156.8,158.1,183.5,181.4,185.6,93.8,91.2,96.4,114.8,107.9,122,104.6,102.7,106.6
2005,2,2,2,156.5,155.9,157.1,156,155.4,156.7,180.9,178.9,183,96.7,94.1,99.3,110.1,103.5,116.9,105.7,103.8,107.7
2006,2,2,2,154.6,154,155.2,154.5,153.9,155.2,177.3,175.3,179.3,94.6,92.1,97.1,112.9,106.4,119.8,104.6,102.7,106.5
2007,2,2,2,152,151.4,152.6,151.9,151.3,152.5,175.5,173.5,177.5,92,89.6,94.5,106.8,100.5,113.3,102.2,100.4,104
2008,2,2,2,149.3,148.7,149.8,149.4,148.7,150,170.4,168.5,172.4,92,89.7,94.4,106.7,100.6,113,100.7,98.9,102.4
2009,2,2,2,147.1,146.6,147.7,147.5,146.9,148.1,167.4,165.5,169.3,89.8,87.6,92.1,103.1,97.3,109.2,100.2,98.5,102
2010,2,2,2,145.7,145.2,146.3,145.9,145.3,146.5,166.2,164.3,168.1,92.3,90.1,94.6,101.7,96.1,107.6,98.6,97,100.3
2011,2,2,2,143.5,142.9,144,143.4,142.9,144,166,164.2,167.9,90.8,88.7,92.9,94,88.7,99.5,97.6,96,99.2
2012,2,2,2,141.8,141.2,142.3,142,141.4,142.6,161.7,159.9,163.5,90.3,88.2,92.4,99.7,94.4,105.3,99.1,97.6,100.7
2013,2,2,2,139.1,138.5,139.6,139.7,139.1,140.3,158.4,156.7,160.2,85.4,83.4,87.3,94.7,89.7,99.9,97.2,95.7,98.7
1999,4,2,3,57.1,56.8,57.4,56.9,56.6,57.2,67.9,66.9,68.9,28.8,27.5,30.2,38,34.6,41.6,26.6,25.8,27.5
2000,4,2,3,57.5,57.2,57.8,57.5,57.2,57.8,66.9,65.9,67.9,28.2,27,29.5,33.6,30.6,36.9,25.8,24.9,26.7
2001,4,2,3,57,56.7,57.2,57.1,56.8,57.4,65.4,64.4,66.4,29.4,28.1,30.6,38,34.8,41.4,25.4,24.6,26.2
2002,4,2,3,56.6,56.3,56.8,56.8,56.5,57.1,64.8,63.8,65.8,26.5,25.3,27.7,36,32.9,39.2,25.7,24.9,26.5
2003,4,2,3,55.8,55.5,56,56,55.7,56.3,63.7,62.7,64.7,28.1,27,29.3,34.2,31.3,37.3,25.1,24.3,25.9
2004,4,2,3,54.8,54.6,55.1,55.1,54.8,55.4,62.3,61.3,63.3,27.4,26.3,28.5,39.1,36.1,42.3,24.7,23.9,25.4
2005,4,2,3,54.3,54.1,54.6,54.7,54.4,55,61.1,60.2,62,27.2,26.1,28.3,37.2,34.3,40.3,24.8,24,25.5
2006,4,2,3,53.2,52.9,53.4,53.7,53.4,53.9,59,58.1,60,26.7,25.7,27.7,33.7,31,36.6,22.9,22.2,23.6
2007,4,2,3,52.1,51.8,52.3,52.6,52.3,52.9,57.8,56.9,58.6,26.7,25.7,27.8,35.8,33.1,38.7,23,22.3,23.6
2008,4,2,3,51,50.7,51.2,51.6,51.4,51.9,55.4,54.6,56.3,26.3,25.3,27.2,36,33.3,38.9,22.9,22.2,23.5
2009,4,2,3,49.7,49.5,50,50.4,50.2,50.7,53.7,52.9,54.6,25.8,24.9,26.8,30.5,28.1,33,21.6,21,22.2
2010,4,2,3,48.7,48.5,49,49.4,49.1,49.6,53.2,52.4,54,25,24.2,25.9,34.2,31.7,36.8,21.3,20.7,21.9
2011,4,2,3,47.3,47,47.5,47.9,47.7,48.2,51.4,50.6,52.2,25.1,24.3,26,31.3,28.9,33.7,20.9,20.3,21.5
2012,4,2,3,46.2,45.9,46.4,46.8,46.6,47.1,50.3,49.5,51,24.5,23.7,25.3,31.1,28.8,33.4,20.3,19.7,20.8
2013,4,2,3,44.6,44.4,44.8,45.3,45,45.5,48.8,48,49.5,23.8,23,24.6,28.8,26.6,31,19.7,19.2,20.2
1999,3,2,3,32.1,31.7,32.4,29.4,29.1,29.8,70.6,68.6,72.6,14.3,12.7,16,18.3,14,23.4,24.1,22.6,25.6
2000,3,2,3,30.9,30.5,31.2,28.3,27.9,28.6,69.3,67.4,71.3,12.7,11.3,14.2,20.8,16.6,25.6,22.4,21,23.9
2001,3,2,3,30,29.6,30.3,27.4,27.1,27.8,68.3,66.4,70.2,12.1,10.8,13.6,21.4,17,26.3,24.6,23.2,26.1
2002,3,2,3,29.2,28.9,29.5,26.9,26.5,27.2,65.4,63.6,67.3,10.8,9.6,12.2,18.1,14.3,22.4,23.9,22.5,25.3
2003,3,2,3,27.7,27.3,28,25.5,25.2,25.8,60.9,59.2,62.7,11.8,10.5,13.1,21.1,16.9,25.9,22.5,21.2,23.8
2004,3,2,3,26.7,26.3,27,24.5,24.2,24.8,59.4,57.7,61.2,12.5,11.2,13.8,19.2,15.3,23.5,21.7,20.5,23
2005,3,2,3,25.8,25.6,26.2,23.8,23.5,24.1,57.5,55.8,59.2,11.4,10.2,12.6,21.5,17.5,26.1,21.5,20.3,22.7
2006,3,2,3,24.7,24.4,25,22.8,22.5,23.1,54.1,52.5,55.8,10.6,9.5,11.7,17.7,14.2,21.6,21.2,20.1,22.4
2007,3,2,3,24.7,24.4,25,22.7,22.4,23,55.3,53.7,57,11.4,10.3,12.6,17.8,14.3,21.6,20.7,19.6,21.8
2008,3,2,3,23.5,23.2,23.7,21.8,21.5,22.1,49.6,48.1,51.1,10.1,9.1,11.2,20.6,17,24.6,19.7,18.7,20.8
2009,3,2,3,22.6,22.3,22.8,20.8,20.5,21.1,49.8,48.3,51.3,9.9,9,11,15.9,12.9,19.3,18.7,17.7,19.7
2010,3,2,3,22.3,22,22.6,20.6,20.4,20.9,48.5,47.1,50,9.6,8.7,10.6,15.6,12.7,18.8,18.9,17.9,19.9
2011,3,2,3,21.2,21,21.5,19.7,19.5,20,44.4,43,45.7,9.6,8.7,10.5,16.7,13.8,20,17.9,17.1,18.9
2012,3,2,3,20,19.8,20.3,18.6,18.4,18.9,42,40.7,43.3,8.5,7.7,9.4,14.4,11.8,17.2,17,16.1,17.8
2013,3,2,3,19.7,19.4,19.9,18.4,18.2,18.7,39.5,38.3,40.7,8.9,8.1,9.7,14.5,12,17.4,16.3,15.5,17.1
1999,2,2,3,26.6,26.3,26.9,26,25.7,26.3,35.2,34.3,36.2,12.7,11.7,13.8,15.6,12.9,18.7,16.6,15.7,17.5
2000,2,2,3,26.6,26.4,26.9,26.2,25.9,26.4,34.4,33.4,35.3,12.1,11.1,13.1,13.7,11.3,16.3,16.8,16,17.6
2001,2,2,3,26,25.8,26.3,25.4,25.2,25.7,34.5,33.6,35.5,12.9,11.9,13.9,12.2,10,14.6,16.5,15.7,17.3
2002,2,2,3,25.6,25.4,25.9,25,24.8,25.3,34.1,33.2,35.1,12.9,12,13.9,14.2,11.9,16.8,15.8,15.1,16.6
2003,2,2,3,25.3,25,25.5,24.7,24.4,24.9,34.1,33.2,35,12.6,11.7,13.6,14.9,12.4,17.6,16.3,15.6,17.1
2004,2,2,3,24.5,24.3,24.7,23.9,23.7,24.2,32.3,31.4,33.2,12.7,11.8,13.6,15.4,13,18,16,15.2,16.7
2005,2,2,3,24.1,23.9,24.4,23.5,23.2,23.7,32.8,32,33.7,12.3,11.4,13.2,15.6,13.2,18.3,15.4,14.7,16.1
2006,2,2,3,23.6,23.3,23.8,23,22.8,23.3,31.6,30.8,32.5,12.1,11.3,13,13,11,15.4,15.4,14.7,16.1
2007,2,2,3,23,22.7,23.2,22.4,22.2,22.6,31.4,30.5,32.2,11.1,10.3,11.9,13.1,11.1,15.3,14.9,14.2,15.5
2008,2,2,3,22.6,22.3,22.8,22,21.7,22.2,31,30.2,31.8,11.5,10.7,12.3,12.7,10.7,14.8,14.6,14,15.3
2009,2,2,3,22.2,22,22.5,21.8,21.5,22,30.2,29.4,31,11.1,10.3,11.8,12.4,10.5,14.5,14.8,14.2,15.5
2010,2,2,3,21.9,21.7,22.1,21.3,21.1,21.6,30.2,29.4,30.9,11.7,11,12.5,11.4,9.6,13.3,14.3,13.7,14.9
2011,2,2,3,21.5,21.3,21.8,20.9,20.7,21.2,30.2,29.4,30.9,11.2,10.5,11.9,11,9.3,12.9,14.1,13.5,14.7
2012,2,2,3,21.3,21.1,21.5,20.7,20.5,20.9,29.4,28.6,30.1,11.2,10.5,11.9,10.8,9.1,12.6,14.6,14.1,15.2
2013,2,2,3,20.7,20.5,20.9,20.3,20,20.5,28.2,27.5,28.9,11,10.3,11.7,10.1,8.5,11.8,14.5,13.9,15.1
1999,4,2,4,55.4,55.1,55.7,55.3,55,55.6,65,64,66,28,26.7,29.4,36.9,33.6,40.5,25.2,24.4,26.1
2000,4,2,4,55.8,55.6,56.1,56,55.7,56.3,63.8,62.8,64.8,27.7,26.5,29,32.6,29.6,35.8,24.6,23.8,25.5
2001,4,2,4,55.3,55,55.6,55.5,55.3,55.8,62.5,61.6,63.5,28.5,27.2,29.7,36,32.8,39.3,24.2,23.4,25
2002,4,2,4,55,54.7,55.3,55.3,55,55.6,62,61.1,63,26.1,24.9,27.2,35.1,32.1,38.4,24.5,23.7,25.3
2003,4,2,4,54.2,53.9,54.5,54.5,54.2,54.8,60.9,60,61.9,27.6,26.4,28.7,33.3,30.4,36.3,24,23.2,24.7
2004,4,2,4,53.4,53.1,53.6,53.7,53.4,54,59.8,58.9,60.7,26.8,25.8,27.9,38.1,35.1,41.2,23.4,22.7,24.2
2005,4,2,4,52.9,52.6,53.1,53.3,53,53.6,58.5,57.6,59.4,26.6,25.5,27.6,35.9,33.1,38.9,23.6,22.9,24.3
2006,4,2,4,51.7,51.5,52,52.3,52,52.5,56.7,55.8,57.6,26.1,25.1,27.1,32.7,30.1,35.6,21.8,21.1,22.5
2007,4,2,4,50.7,50.5,51,51.3,51,51.6,55.4,54.5,56.3,26.1,25.1,27.1,34.6,31.9,37.5,22.1,21.4,22.7
2008,4,2,4,49.6,49.3,49.8,50.3,50,50.5,53.1,52.3,54,25.8,24.8,26.7,35.1,32.4,37.9,21.9,21.2,22.5
2009,4,2,4,48.4,48.2,48.7,49.2,48.9,49.4,51.6,50.7,52.4,25.2,24.3,26.2,29.8,27.5,32.3,20.6,20,21.2
2010,4,2,4,47.4,47.2,47.7,48.1,47.9,48.4,51.1,50.3,52,24.6,23.7,25.5,33,30.6,35.6,20.3,19.7,20.9
2011,4,2,4,46,45.8,46.2,46.7,46.5,47,49.3,48.5,50.1,24.6,23.7,25.4,30.6,28.3,33,19.9,19.3,20.4
2012,4,2,4,44.9,44.7,45.2,45.6,45.4,45.9,48.3,47.6,49.1,23.9,23.1,24.7,30.4,28.2,32.7,19.3,18.7,19.8
2013,4,2,4,43.4,43.2,43.6,44.1,43.9,44.3,46.9,46.2,47.7,23.3,22.5,24.1,28,25.9,30.2,18.8,18.3,19.3
1999,3,2,4,31.6,31.2,31.9,28.9,28.6,29.3,70.1,68.2,72.1,14.1,12.5,15.8,17.5,13.2,22.5,23.4,21.9,25
2000,3,2,4,30.4,30.1,30.7,27.8,27.4,28.1,68.9,67,70.8,12.6,11.1,14.1,20.3,16.1,25.1,21.8,20.5,23.3
2001,3,2,4,29.5,29.2,29.9,27,26.6,27.3,67.8,65.9,69.7,11.9,10.6,13.4,20.7,16.4,25.6,24.1,22.7,25.5
2002,3,2,4,28.7,28.4,29,26.4,26,26.7,65,63.1,66.9,10.7,9.5,12,17.4,13.6,21.7,23.2,21.9,24.7
2003,3,2,4,27.2,26.9,27.5,25,24.7,25.3,60.4,58.6,62.2,11.6,10.3,12.9,20.9,16.7,25.6,21.9,20.6,23.3
2004,3,2,4,26.2,25.9,26.5,24,23.7,24.4,59,57.3,60.8,12.2,10.9,13.5,19,15.1,23.3,21.1,19.9,22.3
2005,3,2,4,25.4,25.1,25.7,23.3,23,23.6,57,55.3,58.7,11.2,10,12.4,21.2,17.1,25.7,20.9,19.7,22.1
2006,3,2,4,24.2,24,24.5,22.3,22,22.6,53.7,52.1,55.4,10.4,9.4,11.6,17.2,13.8,21.1,20.6,19.4,21.7
2007,3,2,4,24.2,24,24.5,22.2,21.9,22.5,54.9,53.3,56.5,11.2,10.2,12.4,17.2,13.8,21,20,19,21.1
2008,3,2,4,23,22.7,23.3,21.3,21.1,21.6,49.1,47.6,50.6,9.9,8.9,11,20,16.4,23.9,19.1,18.1,20.2
2009,3,2,4,22.1,21.9,22.4,20.3,20.1,20.6,49.4,47.9,50.8,9.8,8.8,10.8,15.3,12.4,18.7,18.1,17.2,19.1
2010,3,2,4,21.8,21.6,22.1,20.1,19.8,20.4,48.1,46.7,49.5,9.5,8.6,10.5,15.2,12.4,18.5,18.3,17.3,19.2
2011,3,2,4,20.8,20.5,21,19.3,19,19.5,44,42.6,45.3,9.5,8.6,10.4,16.7,13.7,20,17.3,16.4,18.2
2012,3,2,4,19.6,19.3,19.8,18.1,17.9,18.4,41.6,40.4,42.9,8.4,7.6,9.2,14,11.5,16.8,16.4,15.6,17.3
2013,3,2,4,19.2,19,19.5,18,17.7,18.2,39.1,37.9,40.3,8.6,7.9,9.5,14.2,11.7,17,15.8,15,16.6
1999,4,3,2,1238945,1086026,114451,24260,4707,65859,0,0,0,0,0,0,0,0,0,0,0,0
2000,4,3,2,1263428,1104821,117613,25834,4804,69676,0,0,0,0,0,0,0,0,0,0,0,0
2001,4,3,2,1320169,1152737,122809,27924,5463,74033,0,0,0,0,0,0,0,0,0,0,0,0
2002,4,3,2,1331575,1160283,124205,29323,5554,77632,0,0,0,0,0,0,0,0,0,0,0,0
2003,4,3,2,1402366,1210328,141140,31120,6023,81122,0,0,0,0,0,0,0,0,0,0,0,0
2004,4,3,2,1424446,1227134,144246,32830,6351,85292,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,3,2,1451141,1247611,147197,34341,6578,89581,0,0,0,0,0,0,0,0,0,0,0,0
2006,4,3,2,1485981,1275356,150906,36025,6906,93521,0,0,0,0,0,0,0,0,0,0,0,0
2007,4,3,2,1529884,1306521,157753,38451,7259,98580,0,0,0,0,0,0,0,0,0,0,0,0
2008,4,3,2,1548656,1318948,161225,40328,7597,103594,0,0,0,0,0,0,0,0,0,0,0,0
2009,4,3,2,1563425,1325332,166570,41640,7963,107384,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,3,2,1554858,1312985,167206,43826,8160,108389,0,0,0,0,0,0,0,0,0,0,0,0
2011,4,3,2,1568632,1321071,170244,45201,8290,112606,0,0,0,0,0,0,0,0,0,0,0,0
2012,4,3,2,1554213,1306232,168929,45887,8395,113522,0,0,0,0,0,0,0,0,0,0,0,0
2013,4,3,2,1559130,1304263,170123,47802,8676,117420,0,0,0,0,0,0,0,0,0,0,0,0
1999,3,3,2,638058,557545,61169,11584,2321,32812,0,0,0,0,0,0,0,0,0,0,0,0
2000,3,3,2,653811,569797,63375,12468,2351,34735,0,0,0,0,0,0,0,0,0,0,0,0
2001,3,3,2,684686,595910,66220,13395,2627,37136,0,0,0,0,0,0,0,0,0,0,0,0
2002,3,3,2,693297,603305,66133,13905,2742,39164,0,0,0,0,0,0,0,0,0,0,0,0
2003,3,3,2,727879,627441,74638,14843,2976,40657,0,0,0,0,0,0,0,0,0,0,0,0
2004,3,3,2,739151,636030,76167,15615,3132,42541,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,3,2,751441,645507,77526,15972,3256,44484,0,0,0,0,0,0,0,0,0,0,0,0
2006,3,3,2,774915,664859,79540,16871,3310,46531,0,0,0,0,0,0,0,0,0,0,0,0
2007,3,3,2,803102,685302,83695,17990,3581,49162,0,0,0,0,0,0,0,0,0,0,0,0
2008,3,3,2,804751,684380,85260,18494,3715,51245,0,0,0,0,0,0,0,0,0,0,0,0
2009,3,3,2,806759,682527,87474,19015,3921,52808,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,3,2,800981,675589,86717,19874,3989,53191,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,3,2,808041,680118,87942,20639,4004,54882,0,0,0,0,0,0,0,0,0,0,0,0
2012,3,3,2,782722,657934,85569,20204,3876,53621,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,3,2,781451,654240,85190,21052,4097,55423,0,0,0,0,0,0,0,0,0,0,0,0
1999,2,3,2,600887,528481,53282,12676,2386,33047,0,0,0,0,0,0,0,0,0,0,0,0
2000,2,3,2,609617,535024,54238,13366,2453,34941,0,0,0,0,0,0,0,0,0,0,0,0
2001,2,3,2,635483,556827,56589,14529,2836,36897,0,0,0,0,0,0,0,0,0,0,0,0
2002,2,3,2,638278,556978,58072,15418,2812,38468,0,0,0,0,0,0,0,0,0,0,0,0
2003,2,3,2,674487,582887,66502,16277,3047,40465,0,0,0,0,0,0,0,0,0,0,0,0
2004,2,3,2,685295,591104,68079,17215,3219,42751,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,3,2,699700,602104,69671,18369,3322,45097,0,0,0,0,0,0,0,0,0,0,0,0
2006,2,3,2,711066,610497,71366,19154,3596,46990,0,0,0,0,0,0,0,0,0,0,0,0
2007,2,3,2,726782,621219,74058,20461,3678,49418,0,0,0,0,0,0,0,0,0,0,0,0
2008,2,3,2,743905,634568,75965,21834,3882,52349,0,0,0,0,0,0,0,0,0,0,0,0
2009,2,3,2,756666,642805,79096,22625,4042,54576,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,3,2,753877,637396,80489,23952,4171,55198,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,3,2,760591,640953,82302,24562,4286,57724,0,0,0,0,0,0,0,0,0,0,0,0
2012,2,3,2,771491,648298,83360,25683,4519,59901,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,3,2,777679,650023,84933,26750,4579,61997,0,0,0,0,0,0,0,0,0,0,0,0
1999,4,3,3,1238503,1085632,114418,24251,4705,65844,0,0,0,0,0,0,0,0,0,0,0,0
2000,4,3,3,1262623,1104100,117560,25820,4799,69630,0,0,0,0,0,0,0,0,0,0,0,0
2001,4,3,3,1303111,1137476,121670,27537,5402,73011,0,0,0,0,0,0,0,0,0,0,0,0
2002,4,3,3,1313650,1144161,123021,28984,5496,76559,0,0,0,0,0,0,0,0,0,0,0,0
2003,4,3,3,1382350,1192429,139778,30662,5949,79950,0,0,0,0,0,0,0,0,0,0,0,0
2004,4,3,3,1402804,1207806,142793,32309,6259,84086,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,3,3,1428448,1227402,145584,33834,6478,88235,0,0,0,0,0,0,0,0,0,0,0,0
2006,4,3,3,1462579,1254530,149268,35459,6816,92013,0,0,0,0,0,0,0,0,0,0,0,0
2007,4,3,3,1504861,1284495,155853,37821,7171,96865,0,0,0,0,0,0,0,0,0,0,0,0
2008,4,3,3,1523169,1296531,159336,39664,7486,101819,0,0,0,0,0,0,0,0,0,0,0,0
2009,4,3,3,1537747,1302818,164621,40926,7866,105680,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,3,3,1529860,1291115,165212,43097,8072,106756,0,0,0,0,0,0,0,0,0,0,0,0
2011,4,3,3,1544508,1300063,168317,44491,8167,111033,0,0,0,0,0,0,0,0,0,0,0,0
2012,4,3,3,1529908,1285166,166927,45186,8251,111948,0,0,0,0,0,0,0,0,0,0,0,0
2013,4,3,3,1536119,1284421,168164,47100,8576,115845,0,0,0,0,0,0,0,0,0,0,0,0
1999,3,3,3,637828,557337,61155,11580,2320,32804,0,0,0,0,0,0,0,0,0,0,0,0
2000,3,3,3,653421,569442,63353,12463,2349,34716,0,0,0,0,0,0,0,0,0,0,0,0
2001,3,3,3,675724,587819,65695,13194,2592,36655,0,0,0,0,0,0,0,0,0,0,0,0
2002,3,3,3,683959,594843,65575,13731,2708,38629,0,0,0,0,0,0,0,0,0,0,0,0
2003,3,3,3,717288,617862,74009,14621,2935,40052,0,0,0,0,0,0,0,0,0,0,0,0
2004,3,3,3,727599,625608,75482,15343,3088,41953,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,3,3,739454,634694,76783,15716,3197,43815,0,0,0,0,0,0,0,0,0,0,0,0
2006,3,3,3,762581,653782,78768,16566,3264,45777,0,0,0,0,0,0,0,0,0,0,0,0
2007,3,3,3,790048,673659,82837,17680,3539,48326,0,0,0,0,0,0,0,0,0,0,0,0
2008,3,3,3,791360,672495,84376,18126,3661,50372,0,0,0,0,0,0,0,0,0,0,0,0
2009,3,3,3,793185,670469,86600,18636,3873,51933,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,3,3,787692,663818,85790,19482,3947,52394,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,3,3,795112,668631,87109,20268,3942,54068,0,0,0,0,0,0,0,0,0,0,0,0
2012,3,3,3,769606,646439,84594,19835,3806,52843,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,3,3,768995,643344,84231,20693,4052,54605,0,0,0,0,0,0,0,0,0,0,0,0
1999,2,3,3,600675,528295,53263,12671,2385,33040,0,0,0,0,0,0,0,0,0,0,0,0
2000,2,3,3,609202,534658,54207,13357,2450,34914,0,0,0,0,0,0,0,0,0,0,0,0
2001,2,3,3,627387,549657,55975,14343,2810,36356,0,0,0,0,0,0,0,0,0,0,0,0
2002,2,3,3,629691,549318,57446,15253,2788,37930,0,0,0,0,0,0,0,0,0,0,0,0
2003,2,3,3,665062,574567,65769,16041,3014,39898,0,0,0,0,0,0,0,0,0,0,0,0
2004,2,3,3,675205,582198,67311,16966,3171,42133,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,3,3,688994,592708,68801,18118,3281,44420,0,0,0,0,0,0,0,0,0,0,0,0
2006,2,3,3,699998,600748,70500,18893,3552,46236,0,0,0,0,0,0,0,0,0,0,0,0
2007,2,3,3,714813,610836,73016,20141,3632,48539,0,0,0,0,0,0,0,0,0,0,0,0
2008,2,3,3,731809,624036,74960,21538,3825,51447,0,0,0,0,0,0,0,0,0,0,0,0
2009,2,3,3,744562,632349,78021,22290,3993,53747,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,3,3,742168,627297,79422,23615,4125,54362,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,3,3,749396,631432,81208,24223,4225,56965,0,0,0,0,0,0,0,0,0,0,0,0
2012,2,3,3,760302,638727,82333,25351,4445,59105,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,3,3,767124,641077,83933,26407,4524,61240,0,0,0,0,0,0,0,0,0,0,0,0
1999,4,3,4,195646,172455,19084,2916,676,6812,0,0,0,0,0,0,0,0,0,0,0,0
2000,4,3,4,196499,173099,18891,3237,733,6843,0,0,0,0,0,0,0,0,0,0,0,0
2001,4,3,4,201702,177555,19531,3269,816,7221,0,0,0,0,0,0,0,0,0,0,0,0
2002,4,3,4,203587,179164,19613,3424,830,7463,0,0,0,0,0,0,0,0,0,0,0,0
2003,4,3,4,219845,191933,22594,3794,896,7872,0,0,0,0,0,0,0,0,0,0,0,0
2004,4,3,4,221476,192977,22928,3934,983,8162,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,3,4,225790,196588,23298,4139,1037,8376,0,0,0,0,0,0,0,0,0,0,0,0
2006,4,3,4,226739,197442,23315,4269,1019,8530,0,0,0,0,0,0,0,0,0,0,0,0
2007,4,3,4,228596,198536,23678,4476,1071,9036,0,0,0,0,0,0,0,0,0,0,0,0
2008,4,3,4,231436,200819,23885,4692,1195,9328,0,0,0,0,0,0,0,0,0,0,0,0
