Cell,Doc Count
HCA-7-Colony-3,0
HCA-7-Colony-1,0
HCA-7-Colony-6,0
Hs 578T,0
MTSV17CE1,0
VP267,0
HT 1197,0
CCRFCEM,0
NCI H69/CPR,0
HT29-gluc-C1,0
KARPAS231,0
H33HJ JA1,0
SK OV 3,0
HeLa derivative,0
Hep-2C,0
UBLC1,0
CCRF-SB,0
LAN2,0
HeLa Ohio,0
KARPAS 231,0
JVM-13,0
COR L23/5010,0
RO82-W-1,0
HtTA1,0
LUDLU 1,0
PEO16,0
PE/CA PJ34,0
HCA-7-Colony-30,0
BICR-78,0
Hep2(Clone2B),0
RAMOS EHRB,0
SHP-77,0
COR-L26,0
COR-L24,0
COR-L23,0
K562AZQR,0
Clone 15 HL-60,0
U-373MG,0
COV362,0
HCA7 Colony 6,0
COLO-699,0
MOH (TOU II3),0
C-4 II,0
Clone15c4,0
HCA7 Colony 1,0
Detroit529,0
KU 812E,0
KU 812F,0
MOH(TOUII 3),0
COR-L311,0
ZR 75 30,0
SW948,0
H33HJ-JA1,0
COLO320DMF,0
MFM-223,0
PE/CAPJ49,0
MOH(TOUII3),0
SCC 9,0
MES SA,0
COR L279,0
COR-L 23/CPR,0
HL60-Ast.4,0
KARPAS45,0
3A(tPA301),0
HCA 7Colony11,0
Mero 25,0
HCA-46,0
ESO26,0
HR5 CL11,0
KARPAS384,0
CORL279,0
HCA-7 Colony 6,0
N2102Ep Clone 2/A6,0
CORL95,0
HCA-7 Colony 1,0
HCA-7 Colony 3,0
UM UC 16,0
HT29/219,0
KYSE 410,0
WKD,0
MOG-G-CCM,0
KARPAS417,0
My-LaCD4+,0
COV362.4,0
HCA-7Colony30,0
COV644,0
HCA46,0
HuPT4,0
H-EMC-SS,0
ANGM CSS,0
Mero 84,0
HCA7Colony11,0
KARPAS-384,0
HL601512,0
A.704,0
MOH-(TOU-II-3),0
BHL 89,0
MOLT 3,0
C 4I,0
HL60-M4,0
MEG 01,0
JVM 2,0
MTSV1-7 CE1,0
Mero14,0
Ri1,0
CORL24,0
HT1197,0
CORL26,0
Hep2C,0
COLO-800,0
CORL23,0
UM RC 6,0
UM RC 7,0
Mero 14,0
SW-48,0
PE/CA PJ49,0
EZZ(TOUII4),0
NCIH69/CPR,0
CCRF SB,0
Detroit 529,0
RAMOS AW,0
MOG-G-UVW,0
SW-837,0
COLO857,0
COLO853,0
BICR18,0
ChaGoK1,0
BICR10,0
COLO858,0
HCA-2,0
MyLaCD8+,0
BICR-31,0
COLO720E,0
MFE-280,0
DMS79,0
Bu25 TK,0
MM127,0
HeLa DH,0
HeLa B,0
Adipose Derived Mesenchymal Stem Cells,0
KARPAS-417,0
MKL-1,0
MES-SA/Dx-5,0
HeLaderivative,0
A2780cis,0
OACP4-C,0
ESO51,0
COLO-792,0
COLO206F,0
Huh7D12,0
MOR/0.4R,0
NCI-H510A,0
MM370,0
MESSA/Dx5,0
CCRFHSB2,0
A375 C5,0
GIRARDI-HEART,0
SK N DZ,0
WRL 68,0
PEO14,0
MOLT3,0
Hs-578T,0
NCIH69VCR/R,0
RAMOS (RA.1),0
A375-C6,0
A375-C5,0
HCA-7 Colony 11,0
LC-2/ad,0
MTSV1-7CE1,0
ANGMCSS,0
COLO 201,0
SK PN DW,0
RPMI-6666,0
COLO-668,0
HCA-7Colony1,0
UMUC13,0
MOH (TOU II-3),0
RT112/84,0
COR-L23/5010,0
My-La CD4+,0
SK-GT-4,0
KYSE-70,0
PE/CA-PJ15,0
Clone15HL-60,0
COLO 800,0
COLO 775,0
H400,0
Clone 15 HL60,0
MFE 280,0
NCIH727,0
OACP4C,0
COR-L321,0
COR-L64,0
WM2664,0
CORL23/R23,0
1411H,0
SW-1417,0
K562-AZQR,0
WM-115,0
LUDLU-1,0
UM-UC-13,0
Huh-7D12,0
UM-UC-11,0
Chang-Liver,0
Clone-1-5c-4,0
U 87MG,0
PE/CA PJ41,0
BE(2) M17,0
TAK3,0
SW 626,0
Ishikawa (Heraklio) 2 ER-,0
KYSE-30,0
NCI H727,0
NCI-H69/LX10,0
C 4II,0
Mero-48a,0
HtTA 1,0
PC-14,0
SHP 77,0
COLO679,0
Mero-84,0
COLO775,0
ZR7530,0
NCI H322,0
SK-MES-1-,0
HGC27,0
COLO-201,0
COLO818,0
KARPAS1106P,0
DMS 153,0
HEL92.1.7,0
LS123,0
TOU (TOU I2),0
NCI H69/LX4,0
OAW42,0
SNU C2B,0
NO36,0
Mero84,0
C4 II,0
CCF STTG1,0
UM RC 2,0
BICR-82,0
Mero-14,0
Clone15HL 60,0
RPMI 6666,0
NTERA 2,0
HtTA-1,0
CCFSTTG1,0
HCA 46,0
HCA-7 Colony 27,0
HCA-7 Colony 26,0
HCA-7 Colony 24,0
3A(tPA 30 1),0
COLO320HSR,0
SK N BE(2),0
MOG G CCM,0
COLO 720 E,0
Hep2 (Clone 2B),0
F 36P,0
OV58,0
SKHEP1,0
HRA 16,0
BICR 18,0
HeLa-derivative,0
UMUC7,0
UM UC 1,0
WM 2664,0
BICR 16,0
BICR 10,0
NCIH322,0
HCA7 Colony 3,0
PEO23,0
UM UC 9,0
FTC 133,0
MyLa CD8+,0
1156QE,0
NCIH69/LX4,0
HR5CL11,0
TR146,0
MFM223,0
EZZ-(TOU-II-4),0
T24/83,0
Ri 1,0
QIMR-WIL,0
NCIH292,0
BICR 6,0
COR-L51,0
BICR 3,0
CHP100,0
MDST8,0
MTSV1-7-CE1,0
SW-948,0
HSSultan,0
NCI H292,0
KARPAS-1106P,0
COV318,0
G402,0
COLO-741,0
DMS 53,0
X1/5,0
RPMI8866,0
SW626,0
UMUC5,0
EZZ(TOUII 4),0
SKNBE(2),0
UM-UC-5,0
DMS 92,0
EoL1,0
C4II,0
LNCap-clone-FGC,0
RPMI2650,0
SW1463,0
UM-UC-1,0
KYSE410,0
DMS153,0
LS 123,0
Detroit-539,0
COLO-320-DMF,0
HeLaDH,0
SW 1463,0
UM-UC-10,0
1-7HB2,0
CACO 2,0
Detroit-532,0
MKL 1,0
PE/CA-PJ49,0
UM UC 10,0
CCRFSB,0
Bu25 TK-,0
QIMR WIL,0
PE/CA-PJ41,0
MDAMB157,0
1777N-Rpmet,0
UM-UC-9,0
ANGM-CSS,0
NH17,0
CORL47,0
UM UC 3,0
UM UC 5,0
UM UC 4,0
UM UC 6,0
SUPT1,0
OACP4 C,0
UM-UC-16,0
Shmac-5,0
COLO699,0
Hep 38,0
CORL105,0
COLO-818,0
COR L51,0
Clone15HL60,0
FLO 1,0
Mero 83,0
SW 837,0
CORL32,0
COLO741,0
RAMOS(RA.1),0
ARH 77,0
Detroit 532,0
NCI H358,0
HEMCSS,0
L41,0
SKNAS,0
HCA7 Colony 30,0
1777NRpmet,0
BICR 56,0
COR L23/R23,0
COLO 699,0
BICR22,0
HT29 gluc C1,0
BICR-22,0
SK GT 2,0
Sci-1,0
RPMI7666,0
Mero25,0
PA 1,0
JIII,0
UM-UC-7,0
N2102EpClone2/A6,0
RAMOS-(RA.1),0
N2102Ep-Clone-2/A6,0
HCA 7Colony3,0
Clone-15-HL-60,0
HCA 7,0
VP303,0
HCA 7Colony6,0
VP229,0
HCA 2,0
My-La CD8+,0
RAJI'A',0
HL6015-12,0
MCC26,0
FTC-236,0
Bu25TK-,0
INT-407,0
UM-UC-6,0
COLO 320 HSR,0
HCA7Colony30,0
HL6015 12,0
Mero48a,0
FTC-238,0
RT4/31,0
COR L32,0
KYSE 30,0
RAMOSEHRB,0
NCI-H69/CPR,0
Clone1 5c 4,0
MM138,0
HL60 M4,0
MM383,0
HL60 M2,0
Ishikawa(Heraklio)2ER-,0
COR-L105,0
COLO-320DM,0
L-41,0
HCA-7-Colony-11,0
SK MES 1,0
D98/AH2CloneB,0
DMS-273,0
MM415,0
CORL23/CPR,0
MIA Pa Ca 2,0
TOU (TOU I-2),0
COR L88,0
Hep-2C-,0
CORL321,0
COLO-679,0
BICR-3,0
OAW28,0
TOU(TOUI-2),0
COLO 668,0
BICR-6,0
TOU(TOUI2),0
DMS-153,0
HL60 Ast.4,0
COLO 320DM,0
RB247C,0
HL60 Ast.3,0
COLO 741,0
H413,0
UMUC1,0
HRA 19a1.1,0
UMUC6,0
MFE 296,0
Shmac 5,0
Shmac 4,0
SUP T1,0
1 7HB2,0
COR-L95,0
Clone 1-5c-4,0
LA155n,0
KYSE-150,0
TOU(TOUI 2),0
C-4I,0
LC 2/ad,0
KARPAS 1718,0
JurkatE6.1,0
GP5d,0
EZZ (TOU II4),0
MOR/0.2R,0
SKGT2,0
RPMI-7666,0
HCA 7Colony30,0
Detroit 539,0
E.H.IV,0
HL60-M2,0
Detroit-562,0
COLO-857,0
COV504,0
KU-812E,0
CCRF HSB 2,0
COLO-853,0
KU-812F,0
INT407,0
RPMI7932,0
Mero 41,0
KU812E,0
COLO-858,0
DLD 1,0
RPMI 2650,0
OV7,0
KYSE-410,0
HCA24,0
COLO668,0
PE/CAPJ15,0
UMUC11,0
KARPAS422,0
COR L321,0
UMUC16,0
RO82W1,0
HuP T4,0
HuP T3,0
TO14,0
HL60Ast.3,0
SKGT4,0
Mero83,0
Mero82,0
COLO800,0
TOU-(TOU-I-2),0
HCA7Colony1,0
SKPNDW,0
BHL89,0
COLO-320-HSR,0
BE(2)-C,0
CORL23/R,0
D98/AH2-Clone-B,0
JVM 13,0
H33HJJA1,0
PANC 1,0
Jurkat-E6.1,0
Mero-25,0
UMRC7,0
SK GT 4,0
WRL-68,0
HCA-7 Colony 30,0
MM426,0
COR L23/R,0
Ishikawa(Heraklio)2ER,0
MTSV1 7CE1,0
RAMOS-AW,0
PUTKO,0
SW 13,0
SW-626,0
FTC236,0
LA N 2,0
EJ138,0
MOG G UVW,0
RCC4plusVHL,0
PE/CA PJ15,0
BICR 22,0
FTC238,0
Mero95,0
RPMI6666,0
NCI H69/LX10,0
DMS53,0
HeLa-Ohio,0
BICR-56,0
