Cell Line Name,Canonical Name,Tissue Diagnosis,Gender,Ethnicity,Age,Age Unit,Age Category,SOURCE
51BLim 10,51BLim 10,Carcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,UCB
526 mel,526 mel,Melanoma,Unknown,Unknown,Unknown,Unknown,Unknown,NCI
537 MEL,537 MEL,Melanoma,Unknown,Unknown,Unknown,Unknown,Unknown,NCI
577MF,577MF,Teratoma,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
59M,59M,Carcinoma,Female,Unknown,Unknown,Unknown,Unknown,ECACC
609MP9,609MP9,Adenocarcinoma Ductal,Unknown,Unknown,Unknown,Unknown,Unknown, --
60H9(9)D10.E6,60H9(9)D10.E6,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
617-MP17,617-MP17,Carcinoma Adenosquamous,Unknown,Unknown,Unknown,Unknown,Unknown, --
621-101,621-101,Angiomyolipoma,Unknown,Unknown,Unknown,Unknown,Unknown, --
624 mel,501A,Melanoma,Unknown,Unknown,Unknown,Unknown,Unknown, --
639-V,639-V,Carcinoma Transitional Cell,Male,Caucasian,69,Years,Adult,DSMZ
647-V,647-V,Carcinoma,Male,Unknown,Unknown,Unknown,Unknown,DSMZ
66c14,66c14,Tumor NOS,Unknown,Unknown,Unknown,Unknown,Unknown, --
701-LCL,701-LCL,Normal,male,Unknown,Unknown,Unknown,Unknown,RIKEN
722-MP14,722-MP14,Adenocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown, --
769-P,769-P,Adenocarcinoma,Female,Caucasian,63,Years,Adult,ATCC
786-O,786-O,Adenocarcinoma,Male,Caucasian,58,Years,Adult,ATCC
80T,80T,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
8305C,8305C,Carcinoma Anaplastic,Female,Unknown,67,Years,Adult,DSMZ
833KE,833KE,Carcinoma Embryonal,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
833-KE,1156QE,Carcinoma Embryonal,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
84BR,84BR,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
8505C,8505C,Carcinoma,Female,Unknown,78,Years,Adult,DSMZ
86-2,86-2,Carcinoma Large Cell,male,Unknown,Unknown,Unknown,Unknown,RIKEN
87-5,87-5,Carcinoma Small Cell,Unknown,Unknown,Unknown,Unknown,Unknown,RIKEN
8-MG-BA,8-MG-BA,Glioma,Female,Unknown,54,Years,Adult,DSMZ
90196B,90196B,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
928 mel,928 mel,Melanoma,Unknown,Unknown,Unknown,Unknown,Unknown, --
950MP11,950MP11,Carcinoma,Unknown,Unknown,Unknown,Unknown,Unknown, --
950-MP5,950-MP5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown, --
97-7,97-7,Carcinoma Transitional Cell,Unknown,Unknown,Unknown,Unknown,Unknown, --
9D10,9D10,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
A0010,A0010,Normal,Female,Japanese,7,Years,Juvenile,RIKEN
A0031,A0031,Unknown,Male,Japanese,37,Years,Adult,RIKEN
A0042,A0042,Unknown,Male,Japanese,53,Years,Adult,RIKEN
A0050,A0050,Normal,Female,Japanese,39,Years,Adult,RIKEN
A0055,A0055,Unknown,Male,Japanese,51,Years,Adult,RIKEN
A0058,A0058,Normal,Male,Japanese,44,Years,Adult,RIKEN
A0065,A0065,Unknown,Male,Japanese,48,Years,Adult,RIKEN
A0072,A0072,Normal,Female,Japanese,55,Years,Adult,RIKEN
A0082,A0082,Unknown,Male,Japanese,70,Years,Adult,RIKEN
A101D,A101D,Melanoma,Male,Caucasian,56,Years,Adult,ATCC
A13A,A13A,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown, --
A172,A172,Glioblastoma,Male,Unknown,Unknown,Unknown,Unknown,ECACC
A2.1,A2.1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown, --
A20,A20,Sarcoma,Unknown,Unknown,Unknown,Unknown,Unknown, --
A-204,A-204,Rhabdomyosarcoma,Female,Unknown,1,Years,Juvenile,ATCC
A2058,A2058,Melanoma,Male,Caucasian,43,Years,Adult,ATCC
A-253,A-253,Carcinoma,Male,Caucasian,54,Years,Adult,ATCC
A2780,A2780,Carcinoma,Female,Unknown,Unknown,Unknown,Unknown,ECACC
A3,A3,Leukemia Acute Lymphocytic,Male,Unknown,Unknown,Unknown,Unknown,ATCC
A3/KAW,A3/KAW,Lymphoma,Female,Japanese,68,Years,Adult,JCRB
A373-C6,A-375,Melanoma,Female,Unknown,54,Years,Adult,ECACC
A-375,A-375,Melanoma,Female,Unknown,54,Years,Adult,ECACC
A388,A388,Carcinoma,Male,Unknown,86,Years,Adult,ATCC
A4/Fuk,A4/Fuk,Lymphoma Non-Hodgkins,Female,Japanese,52,Years,Adult,JCRB
A-427,A-427,Carcinoma,Male,Caucasian,52,Years,Adult,ATCC
A-431,A-431,Carcinoma Squamous Cell,Female,Unknown,85,Years,Adult,ECACC
A431NS,A-431,Carcinoma Squamous Cell,Female,Unknown,85,Years,Adult,ATCC
A-498,A-498,Carcinoma,Female,Unknown,52,Years,Adult,ATCC
A529L,A529L,Carcinoma Adenosquamous,male,Japanese,72,Years,Adult,RIKEN
A549,A549,Carcinoma,Male,Caucasian,58,Years,Adult,ATCC
A549SF,A549,Carcinoma,Male,Caucasian,58,Years,Adult, --
A-673,A-673,Rhabdomyosarcoma,Female,Unknown,15,Years,Juvenile, --
A68177,A68177,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
A7,A7,Melanoma,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
A-704,A-704,Carcinoma,Male,Unknown,78,Years,Adult,ECACC
AB22,AB22,Mesothelioma,Unknown,Unknown,8,Weeks,Juvenile,ECACC
ABC-1,ABC-1,Adenocarcinoma,Male,Unknown,47,Years,Adult,JCRB
AC-1M32,AC-1M32,Choriocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,DSMZ
AC-1M46,AC-1M32,Choriocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,DSMZ
AC-1M46,AC-1M46,Choriocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,DSMZ
AC-1M59,AC-1M32,Choriocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,DSMZ
AC-1M81,AC-1M46,Choriocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,DSMZ
AC-1M88,AC-1M46,Choriocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,DSMZ
ACC3,HeLa,Adenocarcinoma,Female,African,31,Years,Adult, --
ACC-MESO-1,ACC-MESO-1,Mesothelioma,Female,Japanese,61,Years,Adult,RIKEN
ACC-MESO-4,ACC-MESO-4,Mesothelioma,male,Japanese,59,Years,Adult,RIKEN
ACCS,ACCS,Carcinoma,Unknown,Unknown,Unknown,Unknown,Unknown, --
ACH1P,ACH1P,Choriocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,DSMZ
ACH-1P,AC-1M32,Choriocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown, --
ACHN,ACHN,Adenocarcinoma,Male,Caucasian,22,Years,Adult,ATCC
Ad Hot,Ad Hot,Ehlers-Danlos syndrome,Female,Unknown,53,Years,Adult,ATCC
AE17,AE17,Mesothelioma,Unknown,Unknown,8,Weeks,Juvenile,ECACC
AGLCL,AGLCL,Normal,Male,Caucasian,72,Years,Adult,ECACC
AGR-ON,AGR-ON,Leukemia Acute Lymphocytic,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
AGS,AGS,Adenocarcinoma,Female,Caucasian,54,Years,Adult,ATCC
AHH-1,AHH-1,Normal,Male,Caucasian,33,Years,Adult,ATCC
Al Ke,Al Ke,Ehlers-Danlos syndrome,Female,Unknown,52,Years,Adult,ATCC
Alexander,Alexander,Carcinoma Hepatocellular,Unknown,Unknown,Unknown,Unknown,Unknown, --
Alexander cells,Alexander cells,Carcinoma Hepatocellular,Male,Unknown,24,Years,Adult,JCRB
ALL-SIL,ALL-SIL,Leukemia,Male,Unknown,17,Years,Juvenile,DSMZ
Am Coo,Am Coo,osteogenesis imperfecta,Male,Unknown,6,Months,Juvenile,ATCC
Am Ric,Am Ric,osteogenesis imperfecta,Male,Unknown,14,Years,Juvenile,ATCC
AM-38,AM-38,Glioblastoma,Male,Unknown,36,Years,Adult,JCRB
Amdur II,Amdur II,Normal,Male,Caucasian,1,Years,Juvenile,ATCC
AML14.3D10/CCCKR3 Clone 16,AML14.3D10/CCCKR3 Clone 16,Normal,Male,Unknown,68,Years,Adult,ATCC
AML-193,AML-193,Leukemia Acute Myelogenous,Female,Unknown,13,Years,Juvenile,ATCC
AMO-1,AMO-1,Plasmacytoma,Female,Unknown,64,Years,Adult,DSMZ
Amsalem,HD-Mar2,Leukemia,Male,Unknown,20,Years,Adult, --
An Zan,An Zan,Marfan syndrome,Female,Unknown,15,Years,Juvenile,ATCC
AN3 CA,AN3 CA,Adenocarcinoma,Female,Caucasian,55,Years,Adult,ATCC
ANGM-CSS,ANGM-CSS,Glioblastoma,Male,Unknown,65,Years,Adult,ECACC
ANJOU 65,293,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
AP-1060,AP-1060,Leukemia Acute Myelogenous,Male,Unknown,45,Years,Adult,DSMZ
Ar Ke-2,Ar Ke-2,Ehlers-Danlos syndrome,Male,Unknown,58,Years,Adult,ATCC
ARH-77,ARH-77,Leukemia,Female,Unknown,33,Years,Adult,ECACC
ARPE-19,ARPE-19,Normal,Male,Unknown,19,Years,Juvenile,ATCC
ASF-4-1,ASF-4-1,Normal,Male,Unknown,36,Years,Adult,JCRB
ASF-4-2,ASF-4-1,Normal,Male,Unknown,36,Years,Adult,JCRB
ASH-3,ASH-3,Carcinoma,Female,Japanese,68,Years,Adult,JCRB
AsPC-1,AsPC-1,Adenocarcinoma,Female,Caucasian,62,Years,Adult,ATCC
ASZ001,ASZ001,Carcinoma Basal Cell,Unknown,Unknown,Unknown,Unknown,Unknown, --
AT(L)5KY,AT(L)5KY,Normal,Female,Unknown,10,Years,Juvenile,JCRB
AT(L)6KY,AT(L)6KY,Normal,Male,Unknown,8,Years,Juvenile,JCRB
AT(L)7KY,AT(L)7KY,Normal,Male,Unknown,3,Years,Juvenile,JCRB
AT1OS,AT1OS,Normal,Unknown,Japanese,Unknown,Unknown,Unknown,JCRB
AT2KY,AT2KY,Normal,Unknown,Japanese,Unknown,Unknown,Unknown,JCRB
A-THP-1,THP-1,Leukemia Acute Myelogenous,Male,Unknown,1,Years,Juvenile,RIKEN
ATN-1,ATN-1,Leukemia Acute Myelogenous,Male,Unknown,47,Years,Adult,RIKEN
AT-PDH1TKB,AT-PDH1TKB,Normal,Male,Japanese,7,Months,Juvenile,RIKEN
ATRFLOX,ATRFLOX,Carcinoma,Male,Unknown,Unknown,Unknown,Adult,ATCC
AU565,AU565,Adenocarcinoma,Female,Caucasian,43,Years,Adult,ATCC
AW-EBV-LCL,AW-EBV-LCL,Leukemia,Female,Japanese,12,Years,Juvenile,RIKEN
AZ-521,HuTu 80,Adenocarcinoma,Male,Caucasian,53,Years,Adult,RIKEN
B0006,B0006,Normal,Male,Japanese,41,Years,Adult,RIKEN
B0010,B0010,Normal,Female,Japanese,7,Years,Juvenile,RIKEN
B0031,B0031,Normal,Male,Japanese,37,Years,Adult,RIKEN
B0036,B0036,Normal,Unknown,Japanese,35,Years,Adult,RIKEN
B0042,B0042,Normal,Male,Japanese,53,Years,Adult,RIKEN
B0050,B0050,Normal,Female,Japanese,39,Years,Adult,RIKEN
B0055,B0055,Normal,Male,Japanese,51,Years,Adult,RIKEN
B0058,B0058,Normal,Male,Japanese,44,Years,Adult,RIKEN
B0072,B0072,Normal,Female,Japanese,55,Years,Adult,RIKEN
B0078,B0078,Normal,Male,Japanese,59,Years,Adult,RIKEN
B0082,B0082,Normal,Male,Japanese,70,Years,Adult,RIKEN
B0090,B0090,Normal,Male,Japanese,29,Years,Adult,RIKEN
B104,B104,Lymphoma,Unknown,Unknown,Unknown,Unknown,Unknown,JCRB
B104-R3,B104-R3,Lymphoma,Unknown,Unknown,Unknown,Unknown,Unknown,JCRB
B1203L,B1203L,Adenocarcinoma,male,Japanese,52,Years,Adult,RIKEN
B16-F0,B16-F0,Melanoma,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
B16-F1,B16-F1,Melanoma,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
B16-F10,B16-F10,Melanoma,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
B2-17,U-251 MG,Astrocytoma,Male,Unknown,75,Years,Adult,JCRB
B-3,B-3,Normal,Unknown,Unknown,Unknown,Unknown,Juvenile,ATCC
Ba Pot,Ba Pot,osteogenesis imperfecta,Male,Unknown,14,Years,Juvenile,ATCC
Ba/F3,Ba/F3,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,RIKEN
BALL-1,BALL-1,Leukemia,Unknown,Unknown,Unknown,Unknown,Unknown,JCRB
BBM,BEAS-2B,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
BC-1,BC-1,Lymphoma,Male,Unknown,46,Years,Adult,ATCC
BC-2,BC-2,Lymphoma,Male,Caucasian,31,Years,Adult,ATCC
BC-3,BC-3,Lymphoma,Male,Caucasian,85,Years,Adult,ATCC
BC-3C,BC-3C,Carcinoma Transitional Cell,Female,Caucasian,82,Years,Adult, --
BCNS1KO,BCNS1KO,Basal cell nevus syndrome,Unknown,Unknown,Unknown,Unknown,Unknown,JCRB
BCP-1,BCP-1,Lymphoma,Male,Unknown,92,Years,Adult,ATCC
B-CPAP,B-CPAP,Carcinoma,Female,Unknown,76,Years,Adult,DSMZ
BD-215,BD-215,Fanconi anemia,Male,Caucasian,Unknown,Unknown,Unknown,DSMZ
BDCM,BDCM,Leukemia Acute Myelogenous,Male,Unknown,Unknown,Unknown,Unknown,ATCC
Be Ar,Be Ar,xeroderma pigmentosum,Male,Unknown,54,Years,Adult,ATCC
Be Sal,Be Sal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
Be Tim,Be Tim,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
BE(2)-C,SK-N-BE(2),Neuroblastoma,Male,Unknown,2,Years,Juvenile,ATCC
BE(2)-M17,SK-N-BE(2),Neuroblastoma,Male,Unknown,2,Years,Juvenile,ATCC
BE-13,BE-13,Leukemia,Female,Unknown,4,Years,Juvenile,DSMZ
BEAS-2B,BEAS-2B,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
Becker,Becker,Astrocytoma,Male,Unknown,57,Years,Adult,JCRB
BEN,BEN,Carcinoma,Male,Unknown,71,Years,Adult,DSMZ
BEN-MEN-1,BEN-MEN-1,Meningioma,Female,Unknown,68,Years,Adult,DSMZ
Ber Lin,Ber Lin,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
BeWo,BeWo,Carcinoma,Male,Unknown,Unknown,Unknown,Unknown,ATCC
BFTC-905,BFTC-905,Carcinoma Transitional Cell,Female,Chinese,51,Years,Adult,DSMZ
BFTC-909,BFTC-909,Carcinoma Transitional Cell,Male,Unknown,64,Years,Adult,DSMZ
BHL-89,BHL-89,Lymphoma,Female,Unknown,56,Years,Adult,ECACC
BHT-101,BHT-101,Carcinoma,Female,Unknown,63,Years,Adult,DSMZ
BHY,BHY,Carcinoma Squamous Cell,Male,Japanese,52,Years,Adult,DSMZ
Bi Fin,Bi Fin,Ehlers-Danlos syndrome,Male,Unknown,13,Years,Juvenile,ATCC
BICR 10,BICR 10,Carcinoma Squamous Cell,Female,Caucasian,Unknown,Unknown,Unknown,ECACC
BICR 16,BICR 16,Carcinoma Squamous Cell,Male,Caucasian,Unknown,Unknown,Unknown,ECACC
BICR 18,BICR 18,Carcinoma Squamous Cell,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
BICR 22,BICR 22,Carcinoma Squamous Cell,Male,Caucasian,Unknown,Unknown,Unknown,ECACC
BICR 3,BICR 3,Carcinoma Squamous Cell,Female,Caucasian,Unknown,Unknown,Unknown,ECACC
BICR 31,BICR 31,Carcinoma Squamous Cell,Male,Caucasian,Unknown,Unknown,Unknown,ECACC
BICR 56,BICR 56,Carcinoma Squamous Cell,Female,Caucasian,Unknown,Unknown,Unknown,ECACC
BICR 6,BICR 6,Carcinoma Squamous Cell,Male,Caucasian,Unknown,Unknown,Unknown,ECACC
BICR 78,BICR 78,Carcinoma Squamous Cell,Male,Caucasian,Unknown,Unknown,Unknown,ECACC
BICR 82,BICR 82,Carcinoma Squamous Cell,Male,Caucasian,Unknown,Unknown,Unknown,ECACC
Bing,Bing,Normal,Unknown,Unknown,Unknown,Unknown,Fetus,ATCC
BJ,BJ,Normal,Male,Unknown,Unknown,Unknown,Juvenile,ATCC
BJ-5ta,BJ-5ta,Normal,Male,Unknown,Unknown,Unknown,Juvenile,ATCC
BJAB,BJAB,Lymphoma B-cell,Unknown,Unknown,Unknown,Unknown,Unknown, --
BL-2,BL-2,Malignant Lymphoma - Burkitts Type,Male,Caucasian,7,Years,Juvenile,DSMZ
BL-41,BL-41,Malignant Lymphoma - Burkitts Type,Male,Caucasian,8,Years,Juvenile,DSMZ
BL-70,BL-70,Malignant Lymphoma - Burkitts Type,Male,Caucasian,16,Years,Juvenile,DSMZ
BLUE-1,BLUE-1,Malignant Lymphoma - Burkitts Type,Male,Caucasian,29,Years,Adult,DSMZ
BM-1604,BM-1604,Carcinoma,Male,Caucasian,69,Years,Adult,DSMZ
Bo Gin,Bo Gin,Ehlers-Danlos syndrome,Female,Unknown,30,Years,Adult,ATCC
Bob,Bob,Carcinoma,Male,Unknown,Unknown,Unknown,Unknown,ECACC
BOKU,BOKU,Carcinoma Squamous Cell,Female,Unknown,Unknown,Unknown,Unknown,JCRB
BONNA-12,BONNA-12,Leukemia,Male,Unknown,46,Years,Adult,DSMZ
BOY-12E,BOY-12E,Carcinoma,Male,Japanese,66,Years,Adult,RIKEN
BPH-1,BPH-1,Hyperplasia,Unknown,Japanese,Unknown,Unknown,Unknown,DSMZ
BRISTOL 8,BRISTOL 8,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
BS2CH,BS2CH,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,JCRB
BSCC-93,DJM-1,trichilemmal cyst,Female,Japanese,87,Years,Adult, --
BSL2KA,BSL2KA,Unknown,Unknown,Japanese,Unknown,Unknown,Unknown,JCRB
BS-SHI-4M,BS-SHI-4M,Normal,male,Unknown,Unknown,Unknown,Unknown,RIKEN
BT-20,BT-20,Carcinoma,Female,Caucasian,74,Years,Adult,ATCC
BT-474,BT-474,Adenocarcinoma Ductal,Female,Caucasian,60,Years,Adult,ATCC
BT-483,BT-483,Adenocarcinoma Ductal,Female,Caucasian,23,Years,Adult,ATCC
BT-549,BT-549,Adenocarcinoma Ductal,Female,Caucasian,72,Years,Adult,ATCC
BT-B,HeLa,Adenocarcinoma,Female,African,31,Years,Adult,DSMZ
Bu25 TK-,HeLa,Adenocarcinoma,Female,African,31,Years,Adult,RIKEN
BUD-8,BUD-8,Normal,Female,Caucasian,56,Years,Adult,ATCC
BU-ML,BU-ML,Melanoma,Unknown,Unknown,Unknown,Unknown,Unknown, --
BV-173,BV-173,Leukemia,male,Unknown,45,Years,Adult,DSMZ
BV-2,BV-2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown, --
BxPC-3,BxPC-3,Adenocarcinoma,Female,Unknown,61,Years,Adult,ATCC
BZR,BEAS-2B,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
C 211,C 211,Normal,Male,Caucasian,11,Years,Juvenile,ATCC
C13589,C13589,Normal,Female,Caucasian,39,Years,Adult,ATCC
C1498,C1498,Leukemia Acute Myelogenous,Female,Unknown,Unknown,Unknown,Unknown,ATCC
C170,C170,Carcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
C1R-B7,C1R-B7,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
C2BBe1,Caco-2,Adenocarcinoma,Male,Caucasian,72,Years,Adult,ATCC
C2C12,C2C12,NOS,Unknown,Unknown,Unknown,Unknown,Unknown,RIKEN
C32,C32,Melanoma,Male,Caucasian,53,Years,Adult,ATCC
C32TG,C32,Melanoma,Male,Caucasian,53,Years,Adult,ATCC
C-33 A,C-33 A,Carcinoma,Female,Caucasian,66,Years,Adult,ATCC
C378,RD-ES,Sarcoma Ewings,Male,Caucasian,19,Years,Juvenile,ATCC
C38,IB3-1,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
C386,RD-ES,Sarcoma Ewings,Male,Caucasian,19,Years,Juvenile,ATCC
C3A,Hep G2,Carcinoma,Male,Caucasian,15,Years,Juvenile,ATCC
C-4 I,C-4 I,Carcinoma,Female,Caucasian,41,Years,Adult,ATCC
C-4 II,C-4I,Carcinoma,Female,Caucasian,41,Years,Adult,ATCC
C430,RD-ES,Sarcoma Ewings,Male,Caucasian,19,Years,Juvenile,ATCC
C-433,RD-ES,Sarcoma Ewings,Male,Caucasian,19,Years,Juvenile,DSMZ
C-4I,C-4I,Carcinoma,Female,Caucasian,41,Years,Adult,ATCC
C5/MJ,C5/MJ,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
C5B7,C5B7,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
