Name,Canonical_Name,Primary Tissue,Diagnosis,Gender,Ethnicity,Age,Age_Unit,Age_Category,Source,Status,"Cancer Type (1=Undefined, 2=Breast, 3=Male Prostate, 4=Lung)","Gender Index (1=Female, 2=Male, 3=Unspecified)","Ethnicity Index (1=Asian, 2=Black, 3=Hispanic,4=Native American, 5=White, 6=Unspecified)","Contaminant Status Index(0=Uncontaminated, 1=Contaminated, Derivative Line, 3=Nomenclature, 4=Parental, 5=Unresolved)","Donor Age (Years, -10=Unspecified)",Founding Year of Cell Line (-10=Undefined),URL, 
EM-2,EM-2,Blood,Leukemia Chronic Myelogenous,Female,Caucasian,5,Years,Juvenile,DSMZ,Derived from same patient,1,1,5,2,5.0,-10,,
EM-3,EM-3,Blood,Leukemia Chronic Myelogenous,Female,Caucasian,5,Years,Juvenile,DSMZ,Derived from same patient,1,1,5,2,5.0,-10,,
Eos-HL-60,HL-60,Blood,Leukemia,Female,Caucasian,36,Years,Adult,ECACC,Parental,1,1,5,4,36.0,-10,,
Farage,Farage,Blood,Lymphoma Non-Hodgkins,Female,Caucasian,Unknown,Unknown,Adult,ATCC,0,1,1,5,0,-10.0,-10,,
GDM-1,GDM-1,Blood,Leukemia,Female,Caucasian,67,Years,Adult,ATCC,0,1,1,5,0,67.0,-10,,
GM06989,GM06989,Blood,Normal,Female,Caucasian,Unknown,Unknown,Unknown, --,0,1,1,5,0,-10.0,-10,,
GM18946,GM18946,Blood,Normal,Female,Japanese,Unknown,Unknown,Unknown, --,0,1,1,1,0,-10.0,-10,,
GRANTA-519,GRANTA-519,Blood,Lymphoma B-cell,Female,Caucasian,58,Years,Adult,DSMZ,0,1,1,5,0,58.0,-10,,
HAL-01,HAL-01,Blood,Leukemia,Female,Unknown,17,Years,Juvenile,DSMZ,0,1,1,6,0,17.0,-10,,
HCC1007 BL,HCC1007 BL,Blood,Normal,Female,African,67,Years,Adult,ATCC,Derived from same patient,1,1,2,2,67.0,-10,,
HCC1143 BL,HCC1143 BL,Blood,Normal,Female,Caucasian,52,Years,Adult,ATCC,0,1,1,5,0,52.0,-10,,
HCC1187 BL,HCC1187 BL,Blood,Normal,Female,Caucasian,41,Years,Adult,ATCC,0,1,1,5,0,41.0,-10,,
HCC1395 BL,HCC1395 BL,Blood,Normal,Female,Caucasian,43,Years,Adult,ATCC,0,1,1,5,0,43.0,-10,,
HCC1428 BL,HCC1428 BL,Blood,Normal,Female,Caucasian,49,Years,Adult,ATCC,Derived from same patient,1,1,5,2,49.0,-10,,
HCC1599 BL,HCC1599 BL,Blood,Normal,Female,Caucasian,44,Years,Adult,ATCC,Derived from same patient,1,1,5,2,44.0,-10,,
HCC1739 BL,HCC1739 BL,Blood,Normal,Female,Unknown,51,Years,Adult,ATCC,0,1,1,6,0,51.0,-10,,
HCC1937 BL,HCC1937 BL,Blood,Normal,Female,Caucasian,23,Years,Adult,ATCC,Derived from same patient,1,1,5,2,23.0,-10,,
HCC1954 BL,HCC1954 BL,Blood,Normal,Female,East Indian,61,Years,Adult,ATCC,Derived from same patient,1,1,1,2,61.0,-10,,
HCC2157 BL,HCC2157 BL,Blood,Normal,Female,african,48,Years,Adult,ATCC,0,1,1,2,0,48.0,-10,,
HCC2218 BL,HCC2218 BL,Blood,Normal,Female,Caucasian,38,Years,Adult,ATCC,0,1,1,5,0,38.0,-10,,
HCC38 BL,HCC38 BL,Blood,Normal,Female,Caucasian,50,Years,Adult,ATCC,0,1,1,5,0,50.0,-10,,
HL-60,HL-60,Blood,Leukemia,Female,Caucasian,36,Years,Adult,ECACC,Parental,1,1,5,4,36.0,-10,,
HMy2.CIR,HMy2.CIR,Blood,Normal,Female,Caucasian,33,Years,Adult,ATCC,0,1,1,5,0,33.0,-10,,
HNT-34,HNT-34,Blood,Leukemia Acute Myelogenous,Female,Unknown,47,Years,Adult,DSMZ,0,1,1,6,0,47.0,-10,,
HP100-1,HL-60,Blood,Leukemia,Female,Caucasian,36,Years,Adult,RIKEN,Parental,1,1,5,4,36.0,-10,,
HP50-2,HL-60,Blood,Leukemia,Female,Caucasian,36,Years,Adult,RIKEN,Parental,1,1,5,4,36.0,-10,,
Hs 142.Sp,Hs 142.Sp,Blood,Normal,Female,Caucasian,12,Days,Juvenile,ATCC,0,1,1,5,0,0.0,-10,,
Hs 313.T,Hs 313.T,Blood,Lymphoma,Female,Caucasian,54,Years,Adult,ATCC,0,1,1,5,0,54.0,-10,,
Hs 445,Hs 445,Blood,Hodgkin's Lymphoma,Female,Caucasian,56,Years,Adult,ATCC,0,1,1,5,0,56.0,-10,,
Hs 505.T,Hs 505.T,Blood,Leukemia Acute Lymphocytic,Female,African,Unknown,Unknown,Unknown,ATCC,0,1,1,2,0,-10.0,-10,,
Hs 602,Hs 602,Blood,Lymphoma,Female,Unknown,Unknown,Unknown,Unknown,ATCC,0,1,1,6,0,-10.0,-10,,
Hs 611.T,Hs 611.T,Blood,Hodgkin's Lymphoma,Female,Unknown,48,Years,Adult,ATCC,0,1,1,6,0,48.0,-10,,
Hs 777.T,Hs 777.T,Blood,Lymphoma,Female,Caucasian,67,Years,Adult,ATCC,0,1,1,5,0,67.0,-10,,
HT-1417,HT-1417,Blood,Lymphoma,Female,Unknown,67,Years,Adult,ATCC,0,1,1,6,0,67.0,-10,,
IM-9,IM-9,Blood,Normal,Female,Unknown,Unknown,Unknown,Unknown,ECACC,0,1,1,6,0,-10.0,-10,,
JEKO-1,JEKO-1,Blood,Lymphoma,Female,Unknown,78,Years,Adult,DSMZ,0,1,1,6,0,78.0,-10,,
JJN-3,JJN-3,Blood,Leukemia,Female,Unknown,57,Years,Adult,DSMZ,0,1,1,6,0,57.0,-10,,
JVM-2,JVM-2,Blood,Leukemia,Female,Unknown,63,Years,Adult,DSMZ,0,1,1,6,0,63.0,-10,,
K-562,K-562,Blood,Leukemia Chronic Myelogenous,Female,Unknown,53,Years,Adult,ATCC,Parental,1,1,6,4,53.0,-10,,
KARPAS-231,KARPAS-231,Blood,Leukemia,Female,Unknown,71,Years,Adult,ECACC,0,1,1,6,0,71.0,-10,,
KARPAS-422,KARPAS-422,Blood,Lymphoma Non-Hodgkins,Female,Unknown,73,Years,Adult,ECACC,0,1,1,6,0,73.0,-10,,
KARPAS-620,KARPAS-620,Blood,Leukemia,Female,Unknown,77,Years,Adult,DSMZ,0,1,1,6,0,77.0,-10,,
Kasumi-4,Kasumi-4,Blood,Leukemia Chronic Myelogenous,Female,Japanese,6,Years,Juvenile,ATCC,0,1,1,1,0,6.0,-10,,
KCL-22,KCL-22,Blood,Leukemia,Female,Unknown,32,Years,Adult,DSMZ,0,1,1,6,0,32.0,-10,,
KHYG-1,KHYG-1,Blood,Leukemia,Female,Japanese,45,Years,Adult,JCRB,0,1,1,1,0,45.0,-10,,
KML-1,KML-1,Blood,Lymphoma,Female,Japanese,28,Years,Adult,JCRB,0,1,1,1,0,28.0,-10,,
KMOE-2,KMOE-2,Blood,Leukemia Acute Myelogenous,Female,Unknown,2,Years,Juvenile,DSMZ,0,1,1,6,0,2.0,-10,,
KMS-11,KMS-11,Blood,Multiple Myeloma,Female,Japanese,67,Years,Adult,JCRB,0,1,1,1,0,67.0,-10,,
KMS-12-BM,KMS-12-BM,Blood,Multiple Myeloma,Female,Unknown,64,Years,Adult,DSMZ,derived from same patient,1,1,6,2,64.0,-10,,
KMS-12-PE,KMS-12-PE,Blood,Multiple Myeloma,Female,Unknown,64,Years,Adult,DSMZ,derived from same patient,1,1,6,2,64.0,-10,,
KMS-20,KMS-20,Blood,Multiple Myeloma,Female,Japanese,65,Years,Adult,JCRB,0,1,1,1,0,65.0,-10,,
KMS-28BM,KMS-28BM,Blood,Multiple Myeloma,Female,Japanese,77,Years,Adult,JCRB,derived from same patient,1,1,1,2,77.0,-10,,
KMS-28PE,KMS-28PE,Blood,Multiple Myeloma,Female,Japanese,77,Years,Adult,JCRB,derived from same patient,1,1,1,2,77.0,-10,,
KMS-34,KMS-34,Blood,Multiple Myeloma,Female,Japanese,60,Years,Adult,JCRB,0,1,1,1,0,60.0,-10,,
KO51,KO51,Blood,Leukemia Chronic Myelogenous,Female,Unknown,53,Years,Adult,JCRB,Contaminant,1,1,6,1,53.0,-10,,
KOPN-8,KOPN-8,Blood,Leukemia,Female,Unknown,0.3,Years,Juvenile,DSMZ,0,1,1,6,0,0.3,-10,,
L-363,L-363,Blood,Leukemia,Female,Unknown,36,Years,Adult,DSMZ,0,1,1,6,0,36.0,-10,,
L-428,L-428,Blood,Hodgkin's Lymphoma,Female,Unknown,37,Years,Adult,DSMZ,0,1,1,6,0,37.0,-10,,
L-540,L-540,Blood,Hodgkin's Lymphoma,Female,Unknown,20,Years,Adult,DSMZ,0,1,1,6,0,20.0,-10,,
L-591,L-591,Blood,Lymphoma Hodgkins,Female,Unknown,31,Years,Adult,DSMZ,0,1,1,6,0,31.0,-10,,
L-82,L-82,Blood,Lymphoma Diffuse Large B Cell,Female,Unknown,24,Years,Adult,DSMZ,0,1,1,6,0,24.0,-10,,
LAMA-84,LAMA-84,Blood,Leukemia Chronic Myelogenous,Female,Unknown,29,Years,Adult,DSMZ,Derived from same patient,1,1,6,2,29.0,-10,,
LAMA-87,LAMA-87,Blood,Leukemia Chronic Myelogenous,Female,Unknown,29,Years,Adult,DSMZ,Derived from same patient,1,1,6,2,29.0,-10,,
LB198,LB198,Blood,Normal,Female,Unknown,45,Years,Adult,ECACC,0,1,1,6,0,45.0,-10,,
LB242,LB242,Blood,Normal,Female,Unknown,20,Years,Adult,ECACC,0,1,1,6,0,20.0,-10,,
LB541,LB541,Blood,Normal,Female,Unknown,13,Years,Juvenile,ECACC,0,1,1,6,0,13.0,-10,,
LB58,LB58,Blood,Normal,Female,Unknown,13,Years,Juvenile,ECACC,0,1,1,6,0,13.0,-10,,
LB750,LB750,Blood,trichothiodystrophy,Female,Unknown,10,Years,Juvenile,ECACC,0,1,1,6,0,10.0,-10,,
LB81,LB81,Blood,xeroderma pigmentosum,Female,Unknown,37,Years,Adult,ECACC,0,1,1,6,0,37.0,-10,,
LB823,LB823,Blood,xeroderma pigmentosum,Female,Unknown,30,Years,Adult,ECACC,0,1,1,6,0,30.0,-10,,
LB83,LB83,Blood,xeroderma pigmentosum,Female,Unknown,15,Years,Juvenile,ECACC,0,1,1,6,0,15.0,-10,,
LC4-1,LC4-1,Blood,Leukemia,Female,Unknown,13,Years,Juvenile,JCRB,0,1,1,6,0,13.0,-10,,
Loucy,Loucy,Blood,Leukemia Acute Lymphocytic,Female,Caucasian,38,Years,Adult,ATCC,0,1,1,5,0,38.0,-10,,
LP-1,LP-1,Blood,Multiple Myeloma,Female,Unknown,56,Years,Adult,DSMZ,0,1,1,6,0,56.0,-10,,
M-07e,M-07e,Blood,Leukemia,Female,Unknown,0.6,Years,Juvenile,DSMZ,0,1,1,6,0,0.6,-10,,
M-MOK,M-MOK,Blood,Leukemia,Female,Unknown,Unknown,Unknown,Unknown,RIKEN,0,1,1,6,0,-10.0,-10,,
M-O7e,M-O7e,Blood,Leukemia Acute Myelogenous,Female,Unknown,6,Months,Juvenile, --,0,1,1,6,0,0.5,-10,,
MHH-CALL-2,MHH-CALL-2,Blood,Leukemia,Female,Caucasian,15,Years,Juvenile,DSMZ,0,1,1,5,0,15.0,-10,,
MHH-CALL-3,MHH-CALL-3,Blood,Leukemia,Female,Unknown,11,Years,Juvenile,DSMZ,0,1,1,6,0,11.0,-10,,
MLMA,MLMA,Blood,Lymphoma,Female,Japanese,32,Years,Adult,JCRB,0,1,1,1,0,32.0,-10,,
MM.1,MM.1,Blood,Multiple Myeloma,Female,African,42,Years,Adult, --,0,1,1,2,0,42.0,-10,,
MM.1S,MM.1S,Blood,Multiple Myeloma,Female,African,42,Years,Adult, --,0,1,1,2,0,42.0,-10,,
MM1.RL,MM1.RL,Blood,Multiple Myeloma,Female,African,42,Years,Adult, --,0,1,1,2,0,42.0,-10,,
MM1.S,MM1.S,Blood,Multiple Myeloma,Female,African,13,Years,Juvenile,ATCC,0,1,1,2,0,13.0,-10,,
MOLM-16,MOLM-16,Blood,Leukemia Acute Myelogenous,Female,Japanese,77,Years,Adult,DSMZ,0,1,1,1,0,77.0,-10,,
MOLM-20,MOLM-20,Blood,Leukemia,Female,Unknown,63,Years,Adult,DSMZ,0,1,1,6,0,63.0,-10,,
MOLT-13,MOLT-13,Blood,Leukemia,Female,Unknown,2,Years,Juvenile,DSMZ,0,1,1,6,0,2.0,-10,,
MOLT-14,MOLT-14,Blood,Leukemia,Female,Unknown,2,Years,Juvenile,DSMZ,0,1,1,6,0,2.0,-10,,
MOLT-16,MOLT-16,Blood,Leukemia,Female,Unknown,5,Years,Juvenile,DSMZ,Derived from same patient,1,1,6,2,5.0,-10,,
MOLT-17,MOLT-17,Blood,Leukemia,Female,Unknown,5,Years,Juvenile,DSMZ,Derived from same patient,1,1,6,2,5.0,-10,,
MOTN-1,MOTN-1,Blood,Leukemia,Female,Unknown,65,Years,Adult,DSMZ,0,1,1,6,0,65.0,-10,,
MTA,MTA,Blood,Leukemia,Female,Unknown,58,Years,Adult,JCRB,0,1,1,6,0,58.0,-10,,
MY,MY,Blood,Leukemia,Female,Japanese,52,Years,Adult,JCRB,0,1,1,1,0,52.0,-10,,
MY-M12,MY-M12,Blood,Leukemia,Female,Japanese,52,Years,Adult,JCRB,0,1,1,1,0,52.0,-10,,
MY-M13,MY-M13,Blood,Leukemia,Female,Japanese,52,Years,Adult,JCRB,0,1,1,1,0,52.0,-10,,
NAGL-1,NAGL-1,Blood,Leukemia,Female,Unknown,Unknown,Unknown,Unknown,JCRB,0,1,1,6,0,-10.0,-10,,
NALM-1,NALM-1,Blood,Leukemia Chronic Myelogenous,Female,Unknown,3,Years,Juvenile,DSMZ,0,1,1,6,0,3.0,-10,,
NAMALWA,NAMALWA,Blood,Malignant Lymphoma - Burkitts Type,Female,Unknown,3,Years,Juvenile,ATCC,Parental,1,1,6,4,3.0,-10,,
NB-4,NB-4,Blood,Leukemia,Female,Unknown,23,Years,Adult,DSMZ,0,1,1,6,0,23.0,-10,,
NC-NC,NC-NC,Blood,Normal,Female,Caucasian,27,Years,Adult,DSMZ,0,1,1,5,0,27.0,-10,,
NC02,NC02,Blood,Leukemia Chronic Myelogenous,Female,Unknown,35,Years,Adult,JCRB,0,1,1,6,0,35.0,-10,,
NCI-BL1339,NCI-BL1339,Blood,Normal,Female,Caucasian,49,Years,Adult,ATCC,0,1,1,5,0,49.0,-10,,
NCI-BL1395,NCI-BL1395,Blood,Normal,Female,Caucasian,55,Years,Adult,ATCC,Derived from same patient,1,1,5,2,55.0,-10,,
NCI-BL1514,NCI-BL1514,Blood,Normal,Female,Caucasian,56,Years,Adult,ATCC,0,1,1,5,0,56.0,-10,,
NCI-BL2009,NCI-BL2009,Blood,Normal,Female,Caucasian,68,Years,Adult,ATCC,Derived from same patient,1,1,5,2,68.0,-10,,
NCI-BL2122,NCI-BL2122,Blood,Normal,Female,Caucasian,46,Years,Adult,ATCC,Derived from same patient,1,1,5,2,46.0,-10,,
NCI-BL2347,NCI-BL2347,Blood,Normal,Female,Caucasian,54,Years,Adult,ATCC,Derived from same patient,1,1,5,2,54.0,-10,,
NCI-H929,NCI-H929,Blood,Multiple Myeloma,Female,Caucasian,62,Years,Adult,ATCC,0,1,1,5,0,62.0,-10,,
NOMO-1,NOMO-1,Blood,Leukemia,Female,Unknown,31,Years,Adult,DSMZ,Derivative Line,1,1,6,2,31.0,-10,,
NOMO-1s,NOMO-1s,Blood,Leukemia,Female,Unknown,31,Years,Adult,JCRB,Derivative Line,1,1,6,2,31.0,-10,,
OCI-LY-19,OCI-LY-19,Blood,Lymphoma B-cell,Female,Unknown,27,Years,Adult,DSMZ,0,1,1,6,0,27.0,-10,,
OPM-2,OPM-2,Blood,Multiple Myeloma,Female,Unknown,56,Years,Adult,DSMZ,0,1,1,6,0,56.0,-10,,
P2UR/K-562,P2UR/K-562,Blood,Leukemia Chronic Myelogenous,Female,Unknown,53,Years,Adult,RIKEN,Derivative Line,1,1,6,2,53.0,-10,,
P30/OHK,P30/OHK,Blood,Leukemia,Female,Japanese,11,Years,Juvenile,JCRB,0,1,1,1,0,11.0,-10,,
P39/TSU,HL-60,Blood,Leukemia,Female,Caucasian,36,Years,Adult,JCRB,Parental,1,1,5,4,36.0,-10,,
PCM6,PCM6,Blood,Multiple Myeloma,Female,Unknown,60,Years,Adult,RIKEN,0,1,1,6,0,60.0,-10,,
PEER,PEER,Blood,Leukemia Acute Lymphocytic,Female,Unknown,4,Years,Juvenile,DSMZ,Parental,1,1,6,4,4.0,-10,,
PF-382,PF-382,Blood,Leukemia,Female,Unknown,6,Years,Juvenile,DSMZ,0,1,1,6,0,6.0,-10,,
PLB-985,HL-60,Blood,Leukemia,Female,Caucasian,36,Years,Adult,DSMZ,Parental,1,1,5,4,36.0,-10,,
RBL162T,RBL162T,Blood,Lymphoma,Female,Unknown,Unknown,Unknown,Unknown,JCRB,0,1,1,6,0,-10.0,-10,,
RCH-ACV,RCH-ACV,Blood,Leukemia,Female,Unknown,8,Years,Juvenile,DSMZ,0,1,1,6,0,8.0,-10,,
RI-1,RI-1,Blood,Lymphoma B-cell,Female,Unknown,57,Years,Adult,DSMZ,0,1,1,6,0,57.0,-10,,
RPMI 8402,RPMI 8402,Blood,Leukemia Acute Lymphocytic,Female,Unknown,16,Years,Juvenile,DSMZ,0,1,1,6,0,16.0,-10,,
RPMI 8866,RPMI 8866,Blood,Normal,Female,Unknown,51,Years,Adult,ECACC,0,1,1,6,0,51.0,-10,,
RS4;11,RS4;11,Blood,Leukemia Acute Lymphocytic,Female,Caucasian,32,Years,Adult,ATCC,Parental,1,1,5,4,32.0,-10,,
SCC-3,SCC-3,Blood,Lymphoma Non-Hodgkins,Female,Unknown,20,Years,Adult,JCRB,0,1,1,6,0,20.0,-10,,
SD-1,SD-1,Blood,Leukemia Acute Lymphocytic,Female,Unknown,Unknown,Unknown,Unknown,DSMZ,0,1,1,6,0,-10.0,-10,,
SEM,SEM,Blood,Leukemia,Female,Unknown,5,Years,Juvenile,DSMZ,0,1,1,6,0,5.0,-10,,
SET-2,SET-2,Blood,Leukemia Acute Myelogenous,Female,Unknown,71,Years,Adult,DSMZ,0,1,1,6,0,71.0,-10,,
SLVL,SLVL,Blood,Lymphoma,Female,Japanese,70,Years,Adult,JCRB,0,1,1,1,0,70.0,-10,,
SPI-801,SPI-801,Blood,Leukemia Chronic Myelogenous,Female,Unknown,53,Years,Adult,DSMZ,Contaminant,1,1,6,1,53.0,-10,,
SPI-802,SPI-802,Blood,Leukemia Chronic Myelogenous,Female,Unknown,53,Years,Adult,DSMZ,Contaminant,1,1,6,1,53.0,-10,,
SR-91,AML-193,Blood,Leukemia Acute Myelogenous,Female,Unknown,13,Years,Juvenile, --,Parental,1,1,6,4,13.0,-10,,
ST486,ST486,Blood,Malignant Lymphoma - Burkitts Type,Female,Unknown,Unknown,Unknown,Unknown,ATCC,0,1,1,6,0,-10.0,-10,,
SU-DHL-5,SU-DHL-5,Blood,Lymphoma B-cell,Female,Unknown,17,Years,Juvenile,DSMZ,0,1,1,6,0,17.0,-10,,
SUP-M2,SUP-M2,Blood,Lymphoma Diffuse Large B Cell,Female,Unknown,5,Years,Juvenile,DSMZ,0,1,1,6,0,5.0,-10,,
TK,TK,Blood,Lymphoma,Female,Unknown,80,Years,Adult,JCRB,0,1,1,6,0,80.0,-10,,
Toledo,Toledo,Blood,Lymphoma B-cell,Female,Caucasian,Unknown,Unknown,Adult,ATCC,0,1,1,5,0,-10.0,-10,,
TOM-1,TOM-1,Blood,Leukemia,Female,Unknown,54,Years,Adult,DSMZ,0,1,1,6,0,54.0,-10,,
U-2932,U-2932,Blood,Lymphoma B-cell,Female,Unknown,29,Years,Adult,DSMZ,0,1,1,6,0,29.0,-10,,
U-2940,U-2940,Blood,Lymphoma B-cell,Female,Unknown,18,Years,Juvenile,DSMZ,0,1,1,6,0,18.0,-10,,
UCB302MSCs,UCB302MSCs,Blood,Normal,Female,Japanese,Unknown,Unknown,Unknown,JCRB,Derivative Line?,1,1,1,2,-10.0,-10,,
UCBTERT-21,UCBTERT-21,Blood,Normal,Female,Japanese,Unknown,Unknown,Unknown,JCRB,Derivative Line?,1,1,1,2,-10.0,-10,,
VAL,VAL,Blood,Lymphoma B-cell,Female,Unknown,50,Years,Adult,DSMZ,0,1,1,6,0,50.0,-10,,
WILL-2,WILL-2,Blood,Lymphoma B-cell,Female,Japanese,63,Years,Adult,DSMZ,0,1,1,1,0,63.0,-10,,
WSU-NHL,WSU-NHL,Blood,Lymphoma B-cell,Female,Unknown,46,Years,Adult,DSMZ,0,1,1,6,0,46.0,-10,,
143.98.2,143.98.2,Bone,Osteosarcoma,Female,Caucasian,13,Years,Juvenile,ATCC,Contaminant? Requires determination of provenance.,1,1,5,1,13.0,-10,,
143B,143.98.2,Bone,Osteosarcoma,Female,Caucasian,13,Years,Juvenile,ATCC,Contaminant? Requires determination of provenance.,1,1,5,1,13.0,-10,,
CADO-ES1,CADO-ES1,Bone,Sarcoma Ewings,Female,Japanese,19,Years,Juvenile,DSMZ,0,1,1,1,0,19.0,-10,,
H-EMC-SS,H-EMC-SS,Bone,Chondrosarcoma,Female,Unknown,77,Years,Adult,ECACC,0,1,1,6,0,77.0,-10,,
HOS,143.98.2,Bone,Osteosarcoma,Female,Caucasian,13,Years,Juvenile,ATCC,Contaminant? Requires determination of provenance.,1,1,5,1,13.0,-10,,
Hs 14.T,Hs 14.T,Bone,Osteosarcoma,Female,Caucasian,45,Years,Adult,ATCC,0,1,1,5,0,45.0,-10,,
Hs 3.T,Hs 3.T,Bone,Osteosarcoma,Female,African,51,Years,Adult,ATCC,0,1,1,2,0,51.0,-10,,
Hs 387.T,Hs 387.T,Bone,Osteosarcoma,Female,Unknown,13,Years,Juvenile,ATCC,0,1,1,6,0,13.0,-10,,
Hs 704.T,Hs 704.T,Bone,Osteosarcoma,Female,Caucasian,13,Years,Juvenile,ATCC,0,1,1,5,0,13.0,-10,,
Hs 706.T,Hs 706.T,Bone,Sarcoma,Female,Caucasian,16,Years,Juvenile,ATCC,0,1,1,5,0,16.0,-10,,
